 Update from <0.155.0>  
 Update from <0.167.0>  
 Update from <0.172.0>  
 Update from <0.176.0>  
 Update from <0.116.0>  
 Update from <0.143.0>  
 Update from <0.130.0>  
 Update from <0.169.0>  
 Update from <0.146.0>  
 Update from <0.179.0>  
 Update from <0.159.0>  
 Update from <0.189.0>  
 Update from <0.163.0>  
 Update from <0.188.0>  
 Update from <0.197.0>  
 Update from <0.111.0>  
 Update from <0.187.0>  
 Update from <0.191.0>  
 Update from <0.121.0>  
 Update from <0.124.0>  
 Update from <0.128.0>  
 Update from <0.135.0>  
 Update from <0.137.0>  
 Update from <0.149.0>  
 Update from <0.151.0>  
 Update from <0.156.0>  
 Update from <0.161.0>  
 Update from <0.170.0>  
 Update from <0.175.0>  
 Update from <0.181.0>  
 Update from <0.184.0>  
 Update from <0.185.0>  
 Update from <0.113.0>  
<0.127.0>: Bye 
<0.158.0>: Bye 
<0.148.0>: Bye 
 Update from <0.147.0>  
<0.191.0>: Bye 
 Update from <0.106.0>  
 Update from <0.126.0>  
 Update from <0.199.0>  
 Update from <0.118.0>  
 Update from <0.133.0>  
 Update from <0.142.0>  
 Update from <0.152.0>  
 Update from <0.138.0>  
 Update from <0.195.0>  
 Update from <0.168.0>  
 Update from <0.157.0>  
 Update from <0.110.0>  
 Update from <0.101.0>  
 Update from <0.173.0>  
 Update from <0.136.0>  
 Update from <0.190.0>  
 Update from <0.178.0>  
 Update from <0.193.0>  
 Update from <0.200.0>  
 Update from <0.166.0>  
 Update from <0.150.0>  
 Update from <0.104.0>  
 Update from <0.131.0>  
 Update from <0.171.0>  
 Update from <0.134.0>  
 Update from <0.177.0>  
 Update from <0.182.0>  
 Update from <0.145.0>  
 Update from <0.107.0>  
 Update from <0.127.0>  
 Update from <0.115.0>  
 Update from <0.132.0>  
 Update from <0.186.0>  
 Update from <0.141.0>  
 Update from <0.129.0>  
 Update from <0.158.0>  
 Update from <0.103.0>  
 Update from <0.109.0>  
 Update from <0.162.0>  
 Update from <0.180.0>  
 Update from <0.120.0>  
 Update from <0.117.0>  
 Update from <0.112.0>  
 Update from <0.125.0>  
 Update from <0.165.0>  
 Update from <0.123.0>  
 Update from <0.105.0>  
 Update from <0.154.0>  
 Update from <0.108.0>  
 Update from <0.114.0>  
 Update from <0.144.0>  
 Update from <0.140.0>  
 Update from <0.196.0>  
 Update from <0.139.0>  
 Update from <0.148.0>  
 Update from <0.155.0>  
 Update from <0.172.0>  
 Update from <0.176.0>  
 Update from <0.194.0>  
 Update from <0.183.0>  
 Update from <0.189.0>  
 Update from <0.179.0>  
 Update from <0.124.0>  
 Update from <0.188.0>  
 Update from <0.197.0>  
 Update from <0.169.0>  
 Update from <0.181.0>  
 Update from <0.116.0>  
 Update from <0.191.0>  
 Update from <0.159.0>  
 Update from <0.130.0>  
 Update from <0.128.0>  
 Update from <0.146.0>  
 Update from <0.163.0>  
 Update from <0.111.0>  
 Update from <0.187.0>  
 Update from <0.121.0>  
 Update from <0.135.0>  
 Update from <0.137.0>  
 Update from <0.149.0>  
 Update from <0.151.0>  
 Update from <0.156.0>  
 Update from <0.161.0>  
 Update from <0.170.0>  
 Update from <0.175.0>  
 Update from <0.184.0>  
 Update from <0.185.0>  
 Update from <0.126.0>  
<0.185.0>: Bye 
<0.169.0>: Bye 
<0.131.0>: Bye 
<0.115.0>: Bye 
 Update from <0.133.0>  
 Update from <0.138.0>  
 Update from <0.173.0>  
 Update from <0.104.0>  
 Update from <0.147.0>  
 Update from <0.180.0>  
 Update from <0.125.0>  
 Update from <0.154.0>  
 Update from <0.178.0>  
 Update from <0.196.0>  
 Update from <0.150.0>  
 Update from <0.132.0>  
 Update from <0.118.0>  
 Update from <0.129.0>  
 Update from <0.197.0>  
 Update from <0.162.0>  
 Update from <0.137.0>  
 Update from <0.175.0>  
 Update from <0.144.0>  
 Update from <0.185.0>  
 Update from <0.139.0>  
 Update from <0.179.0>  
 Update from <0.116.0>  
 Update from <0.163.0>  
 Update from <0.151.0>  
 Update from <0.156.0>  
 Update from <0.161.0>  
 Update from <0.157.0>  
 Update from <0.106.0>  
 Update from <0.193.0>  
 Update from <0.177.0>  
 Update from <0.182.0>  
 Update from <0.141.0>  
 Update from <0.172.0>  
 Update from <0.169.0>  
 Update from <0.128.0>  
 Update from <0.152.0>  
 Update from <0.199.0>  
 Update from <0.142.0>  
 Update from <0.195.0>  
 Update from <0.101.0>  
 Update from <0.200.0>  
 Update from <0.112.0>  
 Update from <0.123.0>  
 Update from <0.181.0>  
 Update from <0.155.0>  
 Update from <0.176.0>  
 Update from <0.130.0>  
 Update from <0.146.0>  
 Update from <0.187.0>  
 Update from <0.121.0>  
 Update from <0.103.0>  
 Update from <0.186.0>  
 Update from <0.188.0>  
 Update from <0.194.0>  
 Update from <0.135.0>  
 Update from <0.159.0>  
 Update from <0.131.0>  
 Update from <0.115.0>  
 Update from <0.120.0>  
 Update from <0.108.0>  
 Update from <0.189.0>  
 Update from <0.124.0>  
 Update from <0.111.0>  
 Update from <0.149.0>  
 Update from <0.170.0>  
 Update from <0.184.0>  
 Update from <0.190.0>  
 Update from <0.171.0>  
 Update from <0.113.0>  
 Update from <0.136.0>  
 Update from <0.105.0>  
 Update from <0.145.0>  
 Update from <0.140.0>  
 Update from <0.183.0>  
 Update from <0.168.0>  
 Update from <0.110.0>  
 Update from <0.107.0>  
 Update from <0.109.0>  
 Update from <0.166.0>  
 Update from <0.165.0>  
 Update from <0.134.0>  
 Update from <0.117.0>  
 Update from <0.114.0>  
 Update from <0.104.0>  
<0.182.0>: Bye 
<0.173.0>: Bye 
 Update from <0.178.0>  
<0.163.0>: Bye 
 Update from <0.150.0>  
 Update from <0.180.0>  
 Update from <0.132.0>  
 Update from <0.197.0>  
 Update from <0.129.0>  
 Update from <0.161.0>  
 Update from <0.144.0>  
 Update from <0.139.0>  
 Update from <0.157.0>  
 Update from <0.179.0>  
 Update from <0.116.0>  
 Update from <0.151.0>  
 Update from <0.106.0>  
 Update from <0.177.0>  
 Update from <0.182.0>  
 Update from <0.141.0>  
 Update from <0.128.0>  
 Update from <0.162.0>  
 Update from <0.199.0>  
 Update from <0.142.0>  
 Update from <0.133.0>  
 Update from <0.195.0>  
 Update from <0.103.0>  
 Update from <0.138.0>  
 Update from <0.147.0>  
 Update from <0.173.0>  
 Update from <0.125.0>  
 Update from <0.154.0>  
 Update from <0.118.0>  
 Update from <0.156.0>  
 Update from <0.137.0>  
 Update from <0.175.0>  
 Update from <0.193.0>  
 Update from <0.159.0>  
 Update from <0.183.0>  
 Update from <0.168.0>  
 Update from <0.186.0>  
 Update from <0.155.0>  
 Update from <0.107.0>  
 Update from <0.200.0>  
 Update from <0.109.0>  
 Update from <0.123.0>  
 Update from <0.165.0>  
 Update from <0.152.0>  
 Update from <0.130.0>  
 Update from <0.146.0>  
 Update from <0.188.0>  
 Update from <0.108.0>  
 Update from <0.189.0>  
 Update from <0.111.0>  
 Update from <0.170.0>  
 Update from <0.184.0>  
 Update from <0.112.0>  
 Update from <0.171.0>  
 Update from <0.181.0>  
 Update from <0.136.0>  
 Update from <0.145.0>  
 Update from <0.176.0>  
 Update from <0.110.0>  
 Update from <0.166.0>  
 Update from <0.117.0>  
 Update from <0.135.0>  
 Update from <0.120.0>  
 Update from <0.124.0>  
 Update from <0.149.0>  
 Update from <0.190.0>  
 Update from <0.113.0>  
 Update from <0.105.0>  
 Update from <0.140.0>  
 Update from <0.134.0>  
 Update from <0.114.0>  
 Update from <0.196.0>  
 Update from <0.163.0>  
 Update from <0.172.0>  
 Update from <0.126.0>  
 Update from <0.101.0>  
 Update from <0.187.0>  
 Update from <0.121.0>  
 Update from <0.194.0>  
<0.177.0>: Bye 
<0.196.0>: Bye 
<0.139.0>: Bye 
<0.110.0>: Bye 
 Update from <0.147.0>  
 Update from <0.162.0>  
 Update from <0.104.0>  
 Update from <0.154.0>  
 Update from <0.180.0>  
 Update from <0.133.0>  
 Update from <0.137.0>  
 Update from <0.197.0>  
 Update from <0.103.0>  
 Update from <0.175.0>  
 Update from <0.157.0>  
 Update from <0.159.0>  
 Update from <0.177.0>  
 Update from <0.141.0>  
 Update from <0.186.0>  
 Update from <0.128.0>  
 Update from <0.155.0>  
 Update from <0.124.0>  
 Update from <0.149.0>  
 Update from <0.138.0>  
 Update from <0.190.0>  
 Update from <0.125.0>  
 Update from <0.200.0>  
 Update from <0.114.0>  
 Update from <0.118.0>  
 Update from <0.172.0>  
 Update from <0.123.0>  
 Update from <0.156.0>  
 Update from <0.101.0>  
 Update from <0.193.0>  
 Update from <0.152.0>  
 Update from <0.183.0>  
 Update from <0.130.0>  
 Update from <0.168.0>  
 Update from <0.146.0>  
 Update from <0.107.0>  
 Update from <0.188.0>  
 Update from <0.109.0>  
 Update from <0.181.0>  
 Update from <0.108.0>  
 Update from <0.165.0>  
 Update from <0.184.0>  
 Update from <0.112.0>  
 Update from <0.189.0>  
 Update from <0.161.0>  
 Update from <0.176.0>  
 Update from <0.135.0>  
 Update from <0.113.0>  
 Update from <0.170.0>  
 Update from <0.134.0>  
 Update from <0.111.0>  
 Update from <0.150.0>  
 Update from <0.196.0>  
 Update from <0.179.0>  
 Update from <0.187.0>  
 Update from <0.171.0>  
 Update from <0.144.0>  
 Update from <0.126.0>  
 Update from <0.136.0>  
 Update from <0.120.0>  
 Update from <0.145.0>  
 Update from <0.139.0>  
 Update from <0.121.0>  
 Update from <0.116.0>  
 Update from <0.110.0>  
 Update from <0.166.0>  
 Update from <0.195.0>  
 Update from <0.117.0>  
 Update from <0.142.0>  
 Update from <0.105.0>  
 Update from <0.194.0>  
 Update from <0.140.0>  
 Update from <0.106.0>  
 Update from <0.132.0>  
 Update from <0.178.0>  
 Update from <0.151.0>  
 Update from <0.129.0>  
 Update from <0.199.0>  
<0.180.0>: Bye 
<0.135.0>: Bye 
 Update from <0.133.0>  
<0.105.0>: Bye 
<0.178.0>: Bye 
 Update from <0.104.0>  
 Update from <0.159.0>  
 Update from <0.103.0>  
 Update from <0.162.0>  
 Update from <0.155.0>  
 Update from <0.125.0>  
 Update from <0.180.0>  
 Update from <0.200.0>  
 Update from <0.118.0>  
 Update from <0.197.0>  
 Update from <0.152.0>  
 Update from <0.156.0>  
 Update from <0.107.0>  
 Update from <0.168.0>  
 Update from <0.188.0>  
 Update from <0.189.0>  
 Update from <0.109.0>  
 Update from <0.176.0>  
 Update from <0.157.0>  
 Update from <0.171.0>  
 Update from <0.117.0>  
 Update from <0.141.0>  
 Update from <0.165.0>  
 Update from <0.147.0>  
 Update from <0.151.0>  
 Update from <0.154.0>  
 Update from <0.112.0>  
 Update from <0.199.0>  
 Update from <0.137.0>  
 Update from <0.135.0>  
 Update from <0.138.0>  
 Update from <0.113.0>  
 Update from <0.134.0>  
 Update from <0.187.0>  
 Update from <0.175.0>  
 Update from <0.120.0>  
 Update from <0.193.0>  
 Update from <0.129.0>  
 Update from <0.183.0>  
 Update from <0.121.0>  
 Update from <0.128.0>  
 Update from <0.146.0>  
 Update from <0.124.0>  
 Update from <0.108.0>  
 Update from <0.111.0>  
 Update from <0.149.0>  
 Update from <0.140.0>  
 Update from <0.186.0>  
 Update from <0.142.0>  
 Update from <0.190.0>  
 Update from <0.114.0>  
 Update from <0.106.0>  
 Update from <0.123.0>  
 Update from <0.172.0>  
 Update from <0.132.0>  
 Update from <0.101.0>  
 Update from <0.179.0>  
 Update from <0.181.0>  
 Update from <0.136.0>  
 Update from <0.130.0>  
 Update from <0.184.0>  
 Update from <0.161.0>  
 Update from <0.170.0>  
 Update from <0.150.0>  
 Update from <0.166.0>  
 Update from <0.144.0>  
 Update from <0.105.0>  
 Update from <0.116.0>  
 Update from <0.145.0>  
 Update from <0.195.0>  
 Update from <0.194.0>  
 Update from <0.126.0>  
 Update from <0.178.0>  
 Update from <0.147.0>  
<0.168.0>: Bye 
 Update from <0.141.0>  
 Update from <0.154.0>  
 Update from <0.104.0>  
 Update from <0.138.0>  
 Update from <0.103.0>  
 Update from <0.124.0>  
 Update from <0.175.0>  
 Update from <0.149.0>  
 Update from <0.133.0>  
 Update from <0.197.0>  
 Update from <0.193.0>  
 Update from <0.181.0>  
 Update from <0.162.0>  
 Update from <0.150.0>  
 Update from <0.183.0>  
 Update from <0.116.0>  
 Update from <0.146.0>  
 Update from <0.108.0>  
 Update from <0.111.0>  
 Update from <0.140.0>  
 Update from <0.137.0>  
 Update from <0.142.0>  
 Update from <0.157.0>  
 Update from <0.125.0>  
 Update from <0.106.0>  
 Update from <0.132.0>  
 Update from <0.156.0>  
 Update from <0.118.0>  
 Update from <0.179.0>  
 Update from <0.136.0>  
 Update from <0.107.0>  
 Update from <0.109.0>  
 Update from <0.166.0>  
 Update from <0.186.0>  
 Update from <0.128.0>  
 Update from <0.123.0>  
 Update from <0.190.0>  
 Update from <0.184.0>  
 Update from <0.112.0>  
 Update from <0.126.0>  
 Update from <0.165.0>  
 Update from <0.161.0>  
 Update from <0.121.0>  
 Update from <0.101.0>  
 Update from <0.159.0>  
 Update from <0.195.0>  
 Update from <0.144.0>  
 Update from <0.170.0>  
 Update from <0.194.0>  
 Update from <0.113.0>  
 Update from <0.134.0>  
 Update from <0.172.0>  
 Update from <0.130.0>  
 Update from <0.155.0>  
 Update from <0.200.0>  
 Update from <0.152.0>  
 Update from <0.168.0>  
 Update from <0.188.0>  
 Update from <0.189.0>  
 Update from <0.176.0>  
 Update from <0.171.0>  
 Update from <0.117.0>  
 Update from <0.151.0>  
 Update from <0.199.0>  
 Update from <0.187.0>  
 Update from <0.120.0>  
 Update from <0.129.0>  
 Update from <0.114.0>  
 Update from <0.145.0>  
 Update from <0.141.0>  
<0.111.0>: Bye 
<0.114.0>: Bye 
 Update from <0.104.0>  
 Update from <0.175.0>  
 Update from <0.133.0>  
 Update from <0.103.0>  
 Update from <0.162.0>  
 Update from <0.183.0>  
 Update from <0.137.0>  
 Update from <0.132.0>  
 Update from <0.125.0>  
 Update from <0.179.0>  
 Update from <0.161.0>  
 Update from <0.118.0>  
 Update from <0.189.0>  
 Update from <0.109.0>  
 Update from <0.123.0>  
 Update from <0.134.0>  
 Update from <0.117.0>  
 Update from <0.107.0>  
 Update from <0.112.0>  
 Update from <0.186.0>  
 Update from <0.121.0>  
 Update from <0.187.0>  
 Update from <0.120.0>  
 Update from <0.165.0>  
 Update from <0.195.0>  
 Update from <0.155.0>  
 Update from <0.101.0>  
 Update from <0.194.0>  
 Update from <0.147.0>  
 Update from <0.113.0>  
 Update from <0.172.0>  
 Update from <0.138.0>  
 Update from <0.200.0>  
 Update from <0.188.0>  
 Update from <0.176.0>  
 Update from <0.154.0>  
 Update from <0.199.0>  
 Update from <0.129.0>  
 Update from <0.145.0>  
 Update from <0.124.0>  
 Update from <0.149.0>  
 Update from <0.193.0>  
 Update from <0.181.0>  
 Update from <0.146.0>  
 Update from <0.150.0>  
 Update from <0.111.0>  
 Update from <0.116.0>  
 Update from <0.197.0>  
 Update from <0.142.0>  
 Update from <0.108.0>  
 Update from <0.157.0>  
 Update from <0.140.0>  
 Update from <0.156.0>  
 Update from <0.106.0>  
 Update from <0.136.0>  
 Update from <0.166.0>  
 Update from <0.190.0>  
 Update from <0.128.0>  
 Update from <0.126.0>  
 Update from <0.184.0>  
 Update from <0.144.0>  
 Update from <0.159.0>  
 Update from <0.152.0>  
 Update from <0.170.0>  
 Update from <0.171.0>  
 Update from <0.114.0>  
 Update from <0.130.0>  
 Update from <0.151.0>  
<0.181.0>: Bye 
 Update from <0.141.0>  
 Update from <0.175.0>  
 Update from <0.104.0>  
 Update from <0.103.0>  
 Update from <0.156.0>  
 Update from <0.157.0>  
 Update from <0.166.0>  
 Update from <0.183.0>  
 Update from <0.133.0>  
 Update from <0.170.0>  
 Update from <0.132.0>  
 Update from <0.179.0>  
 Update from <0.126.0>  
 Update from <0.130.0>  
 Update from <0.161.0>  
 Update from <0.189.0>  
 Update from <0.137.0>  
 Update from <0.134.0>  
 Update from <0.117.0>  
 Update from <0.125.0>  
 Update from <0.187.0>  
 Update from <0.118.0>  
 Update from <0.120.0>  
 Update from <0.172.0>  
 Update from <0.109.0>  
 Update from <0.129.0>  
 Update from <0.112.0>  
 Update from <0.142.0>  
 Update from <0.121.0>  
 Update from <0.190.0>  
 Update from <0.144.0>  
 Update from <0.195.0>  
 Update from <0.147.0>  
 Update from <0.150.0>  
 Update from <0.152.0>  
 Update from <0.124.0>  
 Update from <0.149.0>  
 Update from <0.116.0>  
 Update from <0.162.0>  
 Update from <0.123.0>  
 Update from <0.108.0>  
 Update from <0.155.0>  
 Update from <0.136.0>  
 Update from <0.128.0>  
 Update from <0.138.0>  
 Update from <0.154.0>  
 Update from <0.171.0>  
 Update from <0.181.0>  
 Update from <0.140.0>  
 Update from <0.194.0>  
 Update from <0.107.0>  
 Update from <0.176.0>  
 Update from <0.197.0>  
 Update from <0.165.0>  
 Update from <0.186.0>  
 Update from <0.145.0>  
 Update from <0.101.0>  
 Update from <0.193.0>  
 Update from <0.113.0>  
 Update from <0.159.0>  
 Update from <0.200.0>  
 Update from <0.188.0>  
 Update from <0.199.0>  
 Update from <0.146.0>  
 Update from <0.106.0>  
 Update from <0.184.0>  
 Update from <0.151.0>  
 Update from <0.141.0>  
All Done 
Discovery proportions: [0.31,0.1,0.27,0.25,0.22,0.27,0.15,0.35,0.45,0.3,0.29,
                        0.28,0.33,0.28,0.14,0.15,0.1,0.41,0.1,0.3,0.27,0.15,
                        0.36,0.21,0.42,0.39,0.2,0.33,0.15,0.29,0.2,0.34,0.36,
                        0.29,0.19,0.38,0.37,0.25,0.28,0.37,0.33,0.32,0.15,
                        0.39,0.25,0.3,0.42,0.2,0.24,0.25,0.46,0.39,0.1,0.2,
                        0.35,0.24,0.31,0.17,0.37,0.13,0.1,0.24,0.24,0.1,0.28,
                        0.19,0.15,0.22,0.21,0.43,0.15,0.22,0.14,0.14,0.25,
                        0.21,0.27,0.33,0.18,0.25,0.28,0.22,0.37,0.29,0.18,
                        0.29,0.23,0.18,0.1,0.2,0.18,0.1,0.1,0.32,0.22,0.29,
                        0.22,0.1,0.2,0.23]

Children [<0.101.0>,<0.102.0>,<0.103.0>,<0.104.0>,<0.105.0>,<0.106.0>,
          <0.107.0>,<0.108.0>,<0.109.0>,<0.110.0>,<0.111.0>,<0.112.0>,
          <0.113.0>,<0.114.0>,<0.115.0>,<0.116.0>,<0.117.0>,<0.118.0>,
          <0.119.0>,<0.120.0>,<0.121.0>,<0.122.0>,<0.123.0>,<0.124.0>,
          <0.125.0>,<0.126.0>,<0.127.0>,<0.128.0>,<0.129.0>,<0.130.0>,
          <0.131.0>,<0.132.0>,<0.133.0>,<0.134.0>,<0.135.0>,<0.136.0>,
          <0.137.0>,<0.138.0>,<0.139.0>,<0.140.0>,<0.141.0>,<0.142.0>,
          <0.143.0>,<0.144.0>,<0.145.0>,<0.146.0>,<0.147.0>,<0.148.0>,
          <0.149.0>,<0.150.0>,<0.151.0>,<0.152.0>,<0.153.0>,<0.154.0>,
          <0.155.0>,<0.156.0>,<0.157.0>,<0.158.0>,<0.159.0>,<0.160.0>,
          <0.161.0>,<0.162.0>,<0.163.0>,<0.164.0>,<0.165.0>,<0.166.0>,
          <0.167.0>,<0.168.0>,<0.169.0>,<0.170.0>,<0.171.0>,<0.172.0>,
          <0.173.0>,<0.174.0>,<0.175.0>,<0.176.0>,<0.177.0>,<0.178.0>,
          <0.179.0>,<0.180.0>,<0.181.0>,<0.182.0>,<0.183.0>,<0.184.0>,
          <0.185.0>,<0.186.0>,<0.187.0>,<0.188.0>,<0.189.0>,<0.190.0>,
          <0.191.0>,<0.192.0>,<0.193.0>,<0.194.0>,<0.195.0>,<0.196.0>,
          <0.197.0>,<0.198.0>,<0.199.0>,<0.200.0>]

TurnSinceInactive: [-1,1,-1,-1,7,-1,-1,-1,-1,6,9,-1,-1,9,4,-1,-1,-1,1,-1,-1,2,
                    -1,-1,-1,-1,3,-1,-1,-1,4,-1,-1,-1,7,-1,-1,-1,6,-1,-1,-1,2,
                    -1,-1,-1,-1,3,-1,-1,-1,-1,1,-1,-1,-1,-1,3,-1,2,-1,-1,5,1,
                    -1,-1,2,8,4,-1,-1,-1,5,2,-1,-1,6,7,-1,7,10,5,-1,-1,4,-1,
                    -1,-1,-1,-1,3,1,-1,-1,-1,6,-1,1,-1,-1]

ViewsPerTurn: [[[<0.199.0>,<0.114.0>,<0.145.0>,<0.195.0>,<0.174.0>,<0.119.0>,
                 <0.139.0>,<0.148.0>,<0.171.0>,<0.160.0>],
                [<0.199.0>,<0.114.0>,<0.145.0>,<0.195.0>,<0.174.0>,<0.119.0>,
                 <0.139.0>,<0.148.0>,<0.171.0>,<0.160.0>],
                [<0.199.0>,<0.114.0>,<0.174.0>,<0.148.0>,<0.171.0>,<0.160.0>,
                 <0.115.0>,<0.107.0>,<0.184.0>,<0.106.0>],
                [<0.174.0>,<0.171.0>,<0.160.0>,<0.107.0>,<0.184.0>,<0.167.0>,
                 <0.130.0>,<0.195.0>,<0.165.0>,<0.142.0>],
                [<0.171.0>,<0.107.0>,<0.184.0>,<0.165.0>,<0.142.0>,<0.141.0>,
                 <0.181.0>,<0.156.0>,<0.115.0>,<0.111.0>],
                [<0.171.0>,<0.107.0>,<0.165.0>,<0.142.0>,<0.181.0>,<0.156.0>,
                 <0.115.0>,<0.123.0>,<0.109.0>,<0.163.0>],
                [<0.171.0>,<0.107.0>,<0.165.0>,<0.142.0>,<0.181.0>,<0.115.0>,
                 <0.123.0>,<0.109.0>,<0.163.0>,<0.141.0>],
                [<0.107.0>,<0.165.0>,<0.142.0>,<0.181.0>,<0.115.0>,<0.123.0>,
                 <0.163.0>,<0.111.0>,<0.198.0>,<0.156.0>],
                [<0.107.0>,<0.165.0>,<0.142.0>,<0.115.0>,<0.198.0>,<0.156.0>,
                 <0.196.0>,<0.182.0>,<0.154.0>,<0.199.0>],
                [<0.107.0>,<0.165.0>,<0.142.0>,<0.198.0>,<0.196.0>,<0.182.0>,
                 <0.154.0>,<0.163.0>,<0.111.0>,<0.149.0>],
                [<0.107.0>,<0.142.0>,<0.198.0>,<0.196.0>,<0.182.0>,<0.154.0>,
                 <0.149.0>,<0.199.0>,<0.112.0>,<0.160.0>]],
               [[<0.177.0>,<0.167.0>,<0.133.0>,<0.120.0>,<0.192.0>,<0.170.0>,
                 <0.140.0>,<0.138.0>,<0.134.0>,<0.174.0>],
                [<0.177.0>,<0.167.0>,<0.133.0>,<0.120.0>,<0.192.0>,<0.170.0>,
                 <0.140.0>,<0.138.0>,<0.134.0>,<0.174.0>]],
               [[<0.152.0>,<0.186.0>,<0.156.0>,<0.134.0>,<0.191.0>,<0.128.0>,
                 <0.175.0>,<0.141.0>,<0.104.0>,<0.110.0>],
                [<0.152.0>,<0.186.0>,<0.156.0>,<0.134.0>,<0.191.0>,<0.128.0>,
                 <0.175.0>,<0.141.0>,<0.104.0>,<0.110.0>],
                [<0.134.0>,<0.191.0>,<0.128.0>,<0.175.0>,<0.110.0>,<0.136.0>,
                 <0.133.0>,<0.182.0>,<0.157.0>,<0.137.0>],
